ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Короткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Мета: dish_ingredients","Мета: _dish_ingredients","Мета: dish_weight","Мета: _dish_weight","Мета: pizza_ingredients","Мета: _pizza_ingredients","Мета: pizza_weight","Мета: _pizza_weight","Мета: pizza_diameter","Мета: _pizza_diameter"
174,simple,,"Салат неаполитанский",'-1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,
172,simple,,"Салат из томатов черри",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,290,"Супы и салаты",,,https://ilmarco.ru/wp-content/uploads/2020/09/salat-iz-tomatov-cherri.jpg,,,,,,,,,1,"С красным руком и базиликом",field_5f5f23aebc40f,"200 мл",field_5f5f240bbc411,,,,,,
170,simple,,Гаспачо,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,290,"Супы и салаты",,,https://ilmarco.ru/wp-content/uploads/2020/09/gaspacho.jpg,,,,,,,,,2,"Холодный томатный суп с руколой и оливковым маслом	",field_5f5f23aebc40f,"280 мл",field_5f5f240bbc411,,,,,,
168,simple,,"Крем-суп из шампиньонов",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,290,"Супы и салаты",,,https://ilmarco.ru/wp-content/uploads/2020/09/krem-sup-iz-shampinonov.jpg,,,,,,,,,3,"С крутонами и пармезаном",field_5f5f23aebc40f,"280 мл",field_5f5f240bbc411,,,,,,
141,simple,,"Пицца фокачча с запечённым луком",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,235,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/fokachcha-min.jpg,,,,,,,,,4,,,,,"Красный лук, рукола, оливковое масло",field_5f4b517ae9593,"200 гр.",field_5f4b51fee9594,"28 см",field_5f4b520fe9595
146,simple,,"Пицца Гавайская с курицей",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,595,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/gavajskaya-s-kuriczej-min-1.jpg,,,,,,,,,5,,,,,"Запечённое куриное мясо, ананас, моцарелла, томатный соус",field_5f4b517ae9593,"510 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
143,simple,,"Пицца Баварская",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,575,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/bavarskaya-min-1.jpg,,,,,,,,,6,,,,,"Немецкие колбаски, красный лук, моцарелла, горчичный соус, томатный соус",field_5f4b517ae9593,"390 гр.",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
150,simple,,"Пицца Тартуфо",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,645,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/tartufo-min.jpg,,,,,,,,,7,,,,,"Томаты черри, рукола, трюфельное масло, моцарелла, томатный соус",field_5f4b517ae9593,"460 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
164,simple,,"Пицца Тонно",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,795,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/tonno-min.jpg,,,,,,,,,8,,,,,"Тунец консервированный, красный лук, оливки чёрные, моцарелла, томатный соус, орегано",field_5f4b517ae9593,"520 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
162,simple,,"Пицца Груша блючиз",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,795,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/grusha-blyuchiz-min.jpg,,,,,,,,,9,,,,,"Груша, рокфор, сливки, моцарелла",field_5f4b517ae9593,"510 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
144,simple,,"Пицца Дьявола",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,575,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/dyavolla-min.jpg,,,,,,,,,10,,,,,"Пепперони, перец халапеньо, моцарелла, томатный соус",field_5f4b517ae9593,"380 гр.",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
166,simple,,"Пицца Парма рукола",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,995,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/parma-rukola-min.jpg,,,,,,,,,11,,,,,"Пармская шейка коппа, рукола, оливковое масло, моцарелла, томатный соус",field_5f4b517ae9593,"490 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
156,simple,,"Пицца Вилладжо",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,745,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/villadzho-min-1.jpg,,,,,,,,,12,,,,,"Запечённое куриное мясо, бекон, шампиньоны, рикотта, моцарелла, сливки",field_5f4b517ae9593,"510 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
160,simple,,"Пицца Кватро формаджи",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,795,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/kvatro-formadzhi-min.jpg,,,,,,,,,13,,,,,"Рокфор, пармезан, моцарелла, рикотта, сливки",field_5f4b517ae9593,"480 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
154,simple,,"Пицца Рикко ди карне",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,695,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/riko-di-karne-min.jpg,,,,,,,,,14,,,,,"Немецкие колбаски, запечённое куриное мясо, пепперони, бекон, красный лук, моцарелла, томатный соус",field_5f4b517ae9593,"510 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
152,simple,,"Пицца Каприччоза",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,675,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/kaprichchoza-min.jpg,,,,,,,,,15,,,,,"Ветчина из индейки, шампиньоны, пармезан, моцарелла, сливки",field_5f4b517ae9593,"480 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
158,simple,,"Пицца Палермо",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,745,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/palermo-min.jpg,,,,,,,,,16,,,,,"Запечённое куриное мясо, бекон, салат Айсберг, пармезан, моцарелла, сливки",field_5f4b517ae9593,"580 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
148,simple,,"Пицца Веджи",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,645,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/vedzhi-min-1.jpg,,,,,,,,,17,,,,,"Шампиньоны, перец гриль, томаты черри, оливки чёрные, моцарелла, томатный соус, орегано",field_5f4b517ae9593,"510 гр",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
145,simple,,"Пицца Гавайская с ветчиной",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,595,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/gavajskaya-s-vetchinoj-min-1.jpg,,,,,,,,,18,,,,,"Ветчина из индейки, ананас, моцарелла, томатный соус",field_5f4b517ae9593,"400 гр.",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
142,simple,,"Пицца Пепперони",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,545,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/pepperoni-min.jpg,,,,,,,,,19,,,,,"Пепперони, моцарелла, томатный соус",field_5f4b517ae9593,"370 гр.",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
140,simple,,"Пицца Маргарита",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,445,Пицца,,,https://ilmarco.ru/wp-content/uploads/2020/09/margarita-min.jpg,,,,,,,,,20,,,,,"Моцарелла, томатный соус",field_5f4b517ae9593,"340 гр.",field_5f4b51fee9594,"30 см",field_5f4b520fe9595
